Date	PT	Seeing_avg	Seeing_median	hanle_pblh_avg	hanle_pblh_median
2012-11-21	146	1.605	1.63	0.642	0.566
2012-11-22	1	1.63	1.63	0.89	0.98
2012-11-23	4	1.367	1.34	1.308	1.359
2012-11-30	248	1.015	0.99	1.235	1.012
2012-12-01	197	1.267	1.24	0.749	0.792
2012-12-04	51	1.252	1.22	0.38	0.248
2012-12-06	1	2.22	2.22	0.711	0.7
2012-12-08	29	1.554	1.62	1.067	0.861
2012-12-16	5	1.752	1.78	2.32	2.318
2012-12-18	6	1.77	1.715	1.535	0.97
2012-12-19	2	2.895	2.895	1.662	1.574
2012-12-25	179	1.943	1.77	1.809	1.823
2012-12-27	7	2.721	2.73	1.671	1.66
2012-12-29	24	2.449	2.745	1.942	1.647
2012-12-30	150	2.075	2.07	1.024	0.952
2012-12-31	96	1.739	1.795	0.603	0.767
2013-01-02	66	2.097	2.115	0.481	0.364
2013-01-05	123	1.857	1.85	1.332	1.305
2013-01-06	2	1.97	1.97	0.932	0.738
2013-01-07	140	2.203	2.255	1.251	1.202
2013-01-08	2	2.09	2.09	1.596	1.74
2013-01-09	7	2.524	2.73	1.536	1.419
2013-01-10	169	1.743	1.69	1.291	1.164
2013-01-11	238	1.918	1.83	0.903	0.625
2013-01-12	1	1.77	1.77	1.881	1.823
2013-01-13	10	1.802	1.67	1.61	1.596
2013-01-15	11	1.937	1.89	1.132	1.076
2013-01-19	59	2.247	2.34	0.813	0.669
2013-01-20	204	2.388	2.41	0.668	0.691
2013-01-21	51	2.76	2.82	0.933	0.843
2013-01-22	12	2.236	2.195	0.351	0.248
2013-01-24	204	2.404	2.415	0.465	0.313
2013-01-25	60	2.51	2.54	0.4	0.238
2013-01-26	13	2.522	2.51	0.837	0.952
2013-01-27	3	2.813	2.9	0.774	0.7
2013-01-28	226	1.713	1.69	0.393	0.275
2013-01-29	158	2.294	2.39	0.839	0.871
2013-01-30	92	1.908	1.97	0.459	0.411
2013-01-31	1	1.66	1.66	0.921	0.994
2013-02-02	209	1.486	1.49	0.615	0.551
2013-02-10	28	1.621	1.57	0.509	0.49
2013-02-11	144	1.61	1.56	0.519	0.774
2013-02-12	57	1.131	1.13	0.781	0.701
2013-02-13	164	1.305	1.16	0.954	1.002
2013-02-16	66	1.208	1.145	1.218	0.984
2013-02-21	87	1.557	1.48	0.598	0.807
2013-02-23	93	1.524	1.5	1.016	0.951
2013-02-24	147	1.243	1.23	0.45	0.258
2013-02-28	86	1.548	1.51	1.678	1.521
2013-03-01	88	1.168	1.19	0.505	0.477
2013-03-02	179	1.173	1.14	0.647	0.557
2013-03-03	186	1.195	1.18	0.793	0.78
2013-03-04	57	1.607	1.55	1.228	1.156
2013-03-05	187	1.045	1.03	1.349	1.339
2013-03-06	175	1.119	1.08	1.204	1.182
2013-03-07	195	1.379	1.36	0.478	0.32
2013-03-08	86	1.671	1.64	0.511	0.358
2013-03-10	339	1.151	1.12	0.785	0.688
2013-03-17	169	1.115	1.06	1.05	0.88
2013-03-18	200	1.141	1.145	0.85	0.809
2013-03-19	108	1.296	1.28	0.956	0.932
2013-03-21	198	1.26	1.23	0.884	0.788
2013-03-22	1	0.91	0.91	0.867	0.346
2013-03-23	15	0.949	0.92	0.981	0.795
2013-03-26	170	1.148	1.09	1.082	0.936
